course_name,race_name,off_time,horse_name,betfair_price,trainer_name,jockey_name,market_rank
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Run For The Border (IRE),2.00,J P Ryan,Michael Kenneally,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Easy Doyen (IRE),2.00,C O'Dwyer,Charlie O'Dwyer,1
Limerick,Vision Contracting Maiden Hurdle,13:20:00,Mistyburn (IRE),2.00,P J Rothwell,Tiernan Power Roche,1
Stratford,Mid-Warwickshire Cleaning Supplies Handicap Chase ,13:30:00,Juggernaut (FR),2.00,A J Honeyball,Rex Dingle,1
Stratford,Mid-Warwickshire Cleaning Supplies Handicap Chase ,13:30:00,Salley Gardens (IRE),4.20,J Coulson,S Bowen,2
Stratford,Mid-Warwickshire Cleaning Supplies Handicap Chase ,13:30:00,Midnight Jewel (GB),5.90,C E Longsdon,Lily Pinchin,3
Stratford,Mid-Warwickshire Cleaning Supplies Handicap Chase ,13:30:00,Cartonne (FR),8.40,D McCain Jnr,Theo Gillard,4
Stratford,Mid-Warwickshire Cleaning Supplies Handicap Chase ,13:30:00,Mix Of Clover (GB),9.40,A Ralph,Tom Broughton,5
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Mergus Serrator,2.60,G P Cromwell,Robert Whearty,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Fits Perfect (IRE),2.60,J P O'Brien,Declan McDonogh,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Grand Premiere,2.60,Mrs J Harrington,Chris Hayes,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Il Corsaro,2.60,A P O'Brien,M Crehan,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Star Chamber (GB),2.60,G M Lyons,Jack Kearney,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Eniac (IRE),2.60,Donnacha O'Brien,Gavin Ryan,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Darius Dark,2.60,J P Murtagh,N G McCullagh,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Sharkeyboy (FR),2.60,W P Mullins,J M Sheridan,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Ex Animo (IRE),2.60,A P O'Brien,Ronan Whelan,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Hes A Big Boy Now,2.60,J P Murtagh,Jamie Powell,1
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Antigua,2.62,A P O'Brien,J Cleary,11
Leopardstown,Irish EBF (C & G) Maiden (Smullen Series),13:40:00,Zia Zabel (IRE),3.75,N Lupini,Seamie Heffernan,12
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Kalpana (GB),3.90,A M Balding,Colin Keane,1
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Estrange (IRE),6.40,D O'Meara,D Tudhope,2
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Waardah (IRE),7.80,Owen Burrows,Callum Rodriguez,3
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Quisisana,9.00,F Graffard,M Barzalona,4
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,One Look (IRE),9.60,P Twomey,James Doyle,5
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Wemightakedlongway (IRE),12.00,J P O'Brien,Dylan Browne McMonagle,6
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Bedtime Story (IRE),12.50,A P O'Brien,C Soumillon,7
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Danielle (GB),19.00,J & T Gosden,Oisin Murphy,8
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Latakia,19.50,F Graffard,W Buick,9
Ascot,Qipco British Champions Fillies & Mares Stakes (Fi,13:45:00,Ballet Slippers (IRE),60.00,A P O'Brien,Wayne Lordan,10
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Moonlight Artist (GB),1.75,J Tizzard,Ben Bromley,1
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Lock Out (IRE),1.75,D Pipe,Rian Corcoran,1
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Of Corse I Can (FR),1.75,N P Mulholland,Bradley Harris,1
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Esperti (IRE),1.75,D A Rees,Shane Fenelon,1
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Testflight (GB),1.75,Mrs S Gardner,C P O'Shea,1
Newton Abbot,Weatherbys & Birdie Calendars Conditional Jockeys',13:54:00,Blackacre (GB),1.75,Evan Williams,Ellis Collier,1
Limerick,Irish Stallion Farms EBF Cailin Alainn Mares Hurdl,13:55:00,Millstream Lady (IRE),2.00,E McNamara,Sean Flanagan,1
Limerick,Irish Stallion Farms EBF Cailin Alainn Mares Hurdl,13:55:00,Getaway Beo (IRE),2.00,G Elliott,Sam Ewing,1
