course_name,race_name,off_time,horse_name,win_ppwap,trainer_name,rank
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Lipsink (IRE),3.1,M Appleby,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Alligator Alley (GB),3.1,Mrs R Carr,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Hurt You Never (IRE),3.1,Adrian Nicholls,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Monsieur Kodi (IRE),3.1,R A Fahey,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Bosh (IRE),3.1,M Dods,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,Ancient Times (USA),3.1,Harry Eustace,1
Catterick,William Hill Each Way Extra Veterans' Handicap,12:55:00,,3.1,D McCain Jnr,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Lazzat (FR),5.4,J Reynier,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,5.4,J Reynier,1
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Montassib (GB),7.6,W J Haggas,3
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,7.6,W J Haggas,3
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,8,J R Fanshawe,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Kind Of Blue (GB),8,J R Fanshawe,5
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Big Mojo (IRE),10,M Appleby,7
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,10,M Appleby,7
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,13,F Graffard,9
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Rayevka (IRE),13,F Graffard,9
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,13.5,P Twomey,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Flora Of Bermuda (IRE),13.5,A M Balding,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,13.5,A M Balding,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,King Cuan (GB),13.5,P Twomey,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,,16,K A Ryan,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Inisherin (GB),16,K A Ryan,15
