course_name,race,time,horse_name,price,trainer,rank
Stratford,Nigel Reeve 60th Birthday Celebration Female ,12:15:00,,3.15,N & W Twiston-Davies,21
Catterick,William Hill Catterick Dash Handicap,12:20:00,I'm Next,2.70,T D Easterby,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.70,K Scott,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Castan (GB),2.70,B Smart,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,I'm Next,2.70,T D Easterby,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.70,R M H Cowell,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.70,Tom Clover,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Curious Rover (IRE),2.70,K Scott,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,,2.70,B Smart,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Jumbeau (GB),2.70,Tom Clover,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Lexington Blitz (IRE),2.70,R M H Cowell,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hiya Maite (GB),3.15,S R Bowring,11
Catterick,William Hill Catterick Dash Handicap,12:20:00,,3.15,S R Bowring,11
Catterick,William Hill Catterick Dash Handicap,12:20:00,Vintage Clarets (GB),4.10,R A Fahey,13
Catterick,William Hill Catterick Dash Handicap,12:20:00,,4.10,R A Fahey,13
Catterick,William Hill Catterick Dash Handicap,12:20:00,,5.20,K A Ryan,15
Catterick,William Hill Catterick Dash Handicap,12:20:00,Venture Capital (GB),5.20,K A Ryan,15
Catterick,William Hill Catterick Dash Handicap,12:20:00,,8.00,M Appleby,17
Catterick,William Hill Catterick Dash Handicap,12:20:00,Hedge Fund (IRE),8.00,M Appleby,17
Catterick,William Hill Catterick Dash Handicap,12:20:00,Kodiac Thriller (IRE),8.20,M Walford,19
Catterick,William Hill Catterick Dash Handicap,12:20:00,,8.20,M Walford,19
Catterick,William Hill Catterick Dash Handicap,12:20:00,,9.80,J Candlish,21
